ogc_fid,sector,cod_col,name,NEIGHBORHOOD,alias,AliasType,GISID,uid
2973,28,2829,RESIDENCIAL VILLAS LA CONCEPCION,VILLAS LA CONCEPCION,VILLAS LA CONCEPCION,Default,963,28-VILCON-001
3322,17,1737,VILLAS LIQUIDAMBAR,VILLAS LIQUIDAMBAR,VILLAS LIQUIDAMBAR,Default,266,17-VILLIQ-001
11090,23,0,VILLAS MARIA,VILLAS MARIA,VILLAS MARIA,Default,386,23-VILMAR-001
1351,17,0,VILLAS SAINT HONORE,VILLAS SAINT HONORE,VILLAS SAINT HONORE,Default,173,17-VILSAI-001
115,17,1734,VILLAS SAN DIEGO,VILLAS SAN DIEGO,VILLAS SAN DIEGO,Default,527,17-VILSAN-001
2312,23,2311,RESIDENCIAL VILLAS TONCONTIN,VILLAS TONCONTIN,VILLAS TONCONTIN,Default,99,23-VILTON-001
11710,16,1658,RESIDENCIAL VILLASOL,VILLASOL,VILLASOL,Default,56,16-VILXXX-001
1090,35,3517,COLONIA VILLEDA MORALES,VILLEDA MORALES,VILLEDA MORALES,Default,33,35-VILMOR-001
5999,35,3517,VILLEDA MORALES,VILLEDA MORALES,VILLEDA MORALES,Default,530,35-VILMOR-002
9670,35,3517,COLONIA VILLEDA MORALES ( LOS HORCONES ),VILLEDA MORALES ( LOS HORCONES ),VILLEDA MORALES ( LOS HORCONES ),Default,580,35-VILMOR-003
3357,8,844,RESIDENCIAL VISBELLA,VISBELLA,VISBELLA,Default,1033,08-VISXXX-002
10257,20,2011,RESIDENCIAL VISTA HERMOSA,VISTA HERMOSA,VISTA HERMOSA,Default,166,20-VISHER-001
4411,21,2123,COLONIA VISTA HERMOSA,VISTA HERMOSA,VISTA HERMOSA,Default,216,21-VISHER-001
6002,13,1312,COLONIA VISTA HERMOSA,VISTA HERMOSA,VISTA HERMOSA,Default,243,13-VISHER-001
8077,29,0,COLONIA  VISTA HERMOSA,VISTA HERMOSA,VISTA HERMOSA,Default,1153,29-VISHER-001
12704,25,2503,COLONIA VISTA HERMOSA DEL NORTE,VISTA HERMOSA DEL NORTE,VISTA HERMOSA DEL NORTE,Default,771,25-VISHER-001
6261,35,3514,RESIDENCIAL VISTA REAL,VISTA REAL,VISTA REAL,Default,1144,35-VISREA-001
3192,8,843,RESIDENCIAL VISTALY,VISTALY,VISTALY,Default,112,08-VISXXX-001
14767,23,2378,RESIDENCIAL VITALI,VITALI,VITALI,Default,506,23-VITXXX-001
4838,28,2819,YAGUACIRE,YAGUACIRE,YAGUACIRE,Default,523,28-YAGXXX-001
5718,35,3516,YAGUACIRE,YAGUACIRE,YAGUACIRE,Default,1166,35-YAGXXX-001
9623,35,3529,YAGUACIRE - NUEVA CONCEPCION,YAGUACIRE - NUEVA CONCEPCION,YAGUACIRE - NUEVA CONCEPCION,Default,292,35-YAGNUE-001
