Neighborhood,Zone,objectid,Neighborhood,Corr,Dist,SectorGis,,
BRISAS DE JACALEAPA 4 ETAPA,R4,261,COLONIA BRISAS DE JACALEAPA O LOMAS DE NAVOO IV ETAPA,2147,DU03,SECTOR 21,,
BRISAS DE LA LAGUNA,R3,784,COLONIA BRISAS DE LA LAGUNA,761,DU06,SECTOR 07,,
BRISAS DE OLANCHO,R4,791,COLONIA BRISAS DE OLANCHO,722,DU05,SECTOR 07,,
BRISAS DE ORIENTE 20,R3,,,,,,,
BRISAS DE ORIENTE 32,R4,,,,,,,
BRISAS DE SUYAPA,R3,0,COLONIA BRISAS DE SUYAPA,2904,DU08,SECTOR 29,,
BRISAS DEL CORTIJO,R3,291,COLONIA BRISAS DEL CORTIJO,2230,DU04,SECTOR 22,,
BRISAS DEL MOGOTE,R3,318,COLONIA BRISAS DEL MOGOTE,0,DU11,SECTOR 13,,
BRISAS DEL NORTE,R4,952,COLONIA BRISAS DEL NORTE,2508,DU11,SECTOR 25,,
BRISAS DEL PICACHO/MINA DE AGUA,R3,529,COLONIA  MINA DE AGUA O BRISAS DEL PICACHO,827,DU07,SECTOR 08,,
BRISAS DEL RIO,R3,,,,,,,
BRISAS DEL VALLE 10,R3,578,COLONIA BRISAS DEL VALLE,1017,DU02,SECTOR 10,,
BRISAS DEL VALLE 16,R4,578,COLONIA BRISAS DEL VALLE,1017,DU02,SECTOR 10,,
BUENA VISTA NORTE,R3,455,RESIDENCIAL BUENA VISTA,0,DU01,,,
BUENA VISTA SUR,R3,455,RESIDENCIAL BUENA VISTA,0,DU01,,,
BUENAS NUEVAS,R3,785,COLONIA BUENAS NUEVAS,757,DU06,SECTOR 07,,
BUENOS AIRE,R4,0,COLONIA BUENOS AIRES DE ORIENTE I ETAPA,2924,DU08,SECTOR 29,,
BUENOS AIRES,CH/R4,5,BARRIO BUENOS AIRES,201,DU07,,,
CALIXTO,D3,,,,,,,
CALPULES,R4,252,COLONIA CALPULES,2109,DU03,SECTOR 21,,
CAMAGUARA,R3,509,BARRIO CAMAGUARA,0,DU05,SECTOR 06,,
CAMINO AL HATILLO,HATILLO,555,RESIDENCIAL CAMINO DEL HATILLO,944,DU07,SECTOR 09,,
CAMPANA ARRIBA,R1,,,,,,,
CAMPANA O MAYA CENTRO,R1,829,COLONIA LA CAMPA√ëA O MAYA CENTRO,426,DU02,SECTOR 04,,
CAMPO CIELO 1,R3,799,COLONIA CAMPO CIELO,727,DU06,SECTOR 07,,
CAMPO CIELO 2,R3,799,COLONIA CAMPO CIELO,727,DU06,SECTOR 07,,
CAMPO CIELO 3,R3,799,COLONIA CAMPO CIELO,727,DU06,SECTOR 07,,
CAMPO COCA COLA,R3,,,,,,,
CAMPO SONIA,R3,,,,,,,
CAMPO VERDE,R3,,,,,,,
CANAAN,R3,546,COLONIA CANAAN,947,DU07,SECTOR 09,,
CAÑADA,R3,789,COLONIA CANADA,720,DU06,SECTOR 07,,
CANTARERO LOPEZ,R3,617,COLONIA ARNULFO CANTARERO LOPEZ,1348,DU11,SECTOR 13,,
CANTERA,HATILLO,3,COLONIA LAS CANTERAS,207,DU07,SECTOR 02,,
CANTERA 1,R3,3,COLONIA LAS CANTERAS,207,DU07,SECTOR 02,,
CANTERA 2,R3,3,COLONIA LAS CANTERAS,207,DU07,SECTOR 02,,
CANTERA 3,R3,3,COLONIA LAS CANTERAS,207,DU07,SECTOR 02,,
CANTERA DE SANTOS Y COMPAÑIA,ZI,,,,,,,
CARPINTERO (CASERIO ASERRADERO EL PINO),EL HATILLO,658,CARPINTERO,1508,DU07,SECTOR 15,,
CARPINTERO (VILLA CAMPESINA),EL HATILLO,658,CARPINTERO,1508,DU07,SECTOR 15,,
CARRIZAL ZONA QUEBRACHOS,R3,,,,,,,
CASAMATA,R3,19,BARRIO CASAMATA,302,DU07,SECTOR 03,,
CASANDRA,R3,,,,,,,
CASAS VERDES,R3,400,RESIDENCIAL CASA VERDE,2355,DU04,SECTOR 23,,
CASAVOLA,R1,162,RESIDENCIAL CASAVOLA,1806,DU02,SECTOR 18,,
CASCADA,R2,397,RESIDENCIAL LA CASCADA I ETAPA,2307,DU04,SECTOR 23,,
CASCADAS SEGUNDA ETAPA,R3,398,RESIDENCIAL LA CASCADA II ETAPA,2341,DU04,SECTOR 23,,
CASERIO EL PEDREGAL,R3,,,,,,,
CASERIO TILOARQUE,R3,,,,,,,
CASO COL FALDAS DEL PEDREGAL,R3,276,COLONIA FALDAS DEL PEDREGAL,2204,DU04,SECTOR 22,,
CASTAÑO SUR,R1,586,COLONIA CASTAÑOS SUR,1023,DU02,SECTOR 10,,
CATESA,R1,401,RESIDENCIAL CATESA,0,DU04,SECTOR 23,,
CEMENTERIO DIVINO PARAISO,R3,,,,,,,
