Neighborhood,Zone,objectid,Neighborhood,Corr,Dist,SectorGis,,
LOS MANGOS,R3,1,COLONIA MIRAMESI,205,DU07,,Sub,"14.1161815, -87.2083478"
LOS MOLINOS IMPREMA / JOSE MARIA ANDRADE,R4,,,,,,,
LOS PERIODISTAS,R1,416,COLONIA LOS PERIODISTAS,2316,DU04,SECTOR 23,,
LOS PINOS,R4,0,COLONIA LOS PINOS,2032,DU09,SECTOR 20,,
LOS PROCERES,R2,735,COLONIA LOS PROCERES,1609,DU02,SECTOR 16,,
LOS PROFESORES,R3,831,COLONIA LOS PROFESORES,734,DU06,SECTOR 07,,
LOS QUEBRACHOS,R3,,,,,,,
LOS ROBLES,R3,395,COLONIA LOS ROBLES,2303,DU04,SECTOR 23,,
LOS TROZOS,R3,879,LOS TROZOS,2705,DU09,SECTOR 27,,
LOS TULIPANES,R3,225,RESIDENCIAL LOS TULIPANES,1939,DU03,SECTOR 19,,
LOS ZORSALES # 1,R3,289,COLONIA LOS ZORZALES I,2215,DU04,SECTOR 22,,
LOS ZORSALES # 2,R3,290,COLONIA LOS ZORZALES II,2215,DU04,SECTOR 22,,
LOS ZORZALES,R4,751,RESIDENCIAL LOS ZORZALES,0,DU04,SECTOR 22,,
LOTE NUM 9 SAN IGNACIO,R1,161,COLONIA SAN IGNACIO,1802,DU02,SECTOR 18,,
LOTIFICACION CANTERO,HATILLO,,,,,,,
LOTIFICACION SUYAPA,R3,,,,,,,
LOTIFICADORA CERRO AZUL,UR,161,RESIDENCIAL CERRO AZUL,2923,DU08,SECTOR 29,,
LOYOLA SAN IGNACIO (CONDOMINIO HORIZONTAL),R3,161,COLONIA SAN IGNACIO,1802,DU02,SECTOR 18,,
LUIS ANDRES ZUNIGA,R3,987,COLONIA LUIS ANDRES ZUNIGA,2431,DU04,SECTOR 24,,
LUIS CORDOVA,R3,257,COLONIA LUIS FERNANDO CORDOBA,2153,DU03,SECTOR 21,,
MANANTIAL,R3,753,COLONIA MANANTIAL,718,DU06,SECTOR 07,,
MARADIAGA,R1,44,COLONIA MARADIAGA,1215,DU04,SECTOR 12,,
MARIA CRISTINA,R3,40,COLONIA MARIA CRISTINA,1203,DU04,SECTOR 12,,
MARIA JOSE,R4,,,,,,,
MARIA MERCEDES,R3,809,COLONIA MARICHAL,921,DU07,SECTOR 09,,
MARICHAL,R3,809,COLONIA MARICHAL,921,DU07,SECTOR 09,,
MARY FLAKES FLORES,R4,929,COLONIA MARY FLAKES DE FLORES,2535,DU11,SECTOR 25,,
MATAMOROS,R1,475,COLONIA MATAMOROS,409,DU02,SECTOR 04,,
MATUTE,R3,0,COLONIA SECTOR MATUTE,0,DU08,SECTOR 29,,
MAYA,R3,721,RESIDENCIAL MAYA,1629,DU02,SECTOR 16,,
MAYANGLE,R2,630,COLONIA MAYANGLE,1335,DU05,SECTOR 13,,
MEJIA,R3,472,COLONIA MEJIA,315,DU07,SECTOR 03,,
MI CASITA,R3,,,,,,,
MIRADOR (LA TRAVESIA),R3,,,,,,,
MIRADOR DE LA TRAVESIA,R3,406,RESIDENCIAL MIRADOR DE LOS ANGELES,2363,DU10,SECTOR 23,,
MIRADOR DE LOS ANGELES,R3,406,RESIDENCIAL MIRADOR DE LOS ANGELES,2363,DU10,SECTOR 23,,
MIRADOR DEL BOSQUE,R3,4,BARRIO EL BOSQUE,202,DU07,,,
MIRADOR DEL NORTE,R4,72,RESIDENCIAL MIRADOR DEL NORTE,1374,DU11,SECTOR 13,,
MIRADOR SAN ISIDRO,R3,255,COLONIA MIRADOR DE SAN ISIDRO,2122,DU03,SECTOR 21,,
MIRADOR TILOARQUE 2005,R4,51,MIRADOR DE TILOARQUE,1235,DU04,SECTOR 12,,
MIRAFLOR,R3,50,COLONIA MIRAFLOR,1222,DU04,SECTOR 12,,
MIRAFLORES,R2,215,COLONIA MIRAFLORES,1908,DU03,SECTOR 19,,
MIRAFLORES NORTE,R3,359,VILLA MIRAFLORES NORTE,0,DU03,SECTOR 19,,
MIRAFLORES SUR,R2,217,COLONIA MIRAFLORES SUR,1907,DU03,SECTOR 19,,
MIRALAGO,HATILLO,659,RESIDENCIAL MIRALAGO,1514,DU07,SECTOR 15,,
MIRAMESI,CH/R4,1,COLONIA MIRAMESI,205,DU07,,,
MIRAMONTE I ETAPA,R2,602,COLONIA MIRAMONTES,1106,DU02,SECTOR 11,,
MIRAMONTE II ETAPA,R2,602,COLONIA MIRAMONTES,1106,DU02,SECTOR 11,,
MODELO,R2,422,COLONIA MODELO,2318,DU04,SECTOR 23,,
MODESTO RODAS ALVARADO,R3,562,COLONIA MODESTO RODAS ALVARADO,909,DU07,SECTOR 09,,
MONSEÑOR FIALLOS,R3,762,COLONIA MONSE√ëOR FIALLOS,703,DU05,SECTOR 07,,
MONTE CARMELO,R3,633,RESIDENCIAL MONTE CARMELO,1322,DU05,SECTOR 13,,
MONTE FRESCO,R2,865,COLONIA MONTE FRESCO,2605,DU09,SECTOR 26,,
MONTE LOS OLIVOS,R3,917,COLONIA MONTE DE LOS OLIVOS,2534,DU11,SECTOR 25,,
MONTE VERDE,R3,674,COLONIA MONTE VERDE,1715,DU02,SECTOR 17,,
MONTECARLOS,R1,583,COLONIA MONTECARLO,1015,DU02,SECTOR 10,,
MONTEFRESCO / PLANES DE LA LOMA,R3,865,COLONIA MONTE FRESCO,2605,DU09,SECTOR 26,,
MONTELIMAR,R3,285,COLONIA MONTELIMAR,2219,DU04,SECTOR 22,,
MONTERREY,R3,262,COLONIA MONTERREY,2120,DU03,SECTOR 21,,
MONTERREY NORTE,R3,264,COLONIA MONTERREY NORTE,0,DU03,SECTOR 21,,
MONTERREY SUR,R3,,,,,,,
MONTES DE BENDICION,R3,77,COLONIA   MONTES  DE BENDICION,1383,DU11,SECTOR 13,,
MONTES DE SINAI,R3,345,COLONIA MONTES DE SINAI,2112,DU03,SECTOR 21,,
MORAZAN,D3,492,BARRIO MORAZAN,504,DU02,SECTOR 05,,
NORA GUNERA DE MELGAR,R3,235,COLONIA NORA DE MELGAR,0,DU03,SECTOR 19,,
NORTE FRESCO,R3,865,COLONIA MONTE FRESCO,2605,DU09,SECTOR 26,,
NUEVA ALDEA (CASERIO JOCOMICO),R3,,,,,,,
NUEVA AUSTRALIA,R3,916,COLONIA NUEVA AUSTRALIA,2541,DU11,SECTOR 25,,
NUEVA CAPITAL,R4,940,COLONIA NUEVA CAPITAL,2527,DU11,SECTOR 25,,
NUEVA DANLI,R3,934,COLONIA NUEVA DANLI,2526,DU11,SECTOR 25,,
NUEVA ERA,R3,720,COLONIA NUEVA ERA,1616,DU08,SECTOR 16,,
NUEVA ERA TEGUCIGALPA,R4,645,COLONIA NUEVA ERA,1347,DU11,SECTOR 13,,
NUEVA ESPAÑA,R4,81,COLONIA NUEVA ESPA√ëA,1386,DU11,SECTOR 13,,
NUEVA ESPERANZA,R4,30,COLONIA NUEVA ESPERANZA,1221,DU04,SECTOR 12,,
NUEVA GALILEA,R3,80,COLONIA NUEVA GALILEA,1385,DU11,SECTOR 13,,
NUEVA JERUSALEM #2,R3,84,COLONIA NUEVA JERUSALEN No.2,0,DU11,SECTOR 13,,
NUEVA JERUSALEN,R3,56,COLONIA  NUEVA JERUSALEM,1372,DU11,SECTOR 13,,
NUEVA ORIENTAL Y MIRADOR DE ORIENTE,R3,,,,,,,
NUEVA OROCUINA,R4,63,COLONIA NUEVA OROCUINA,1304,DU11,SECTOR 13,,
NUEVA PROVIDENCIA,R4,941,COLONIA NUEVA PROVIDENCIA,2531,DU11,SECTOR 25,,
NUEVA SANTA ROSA,R3,552,COLONIA NUEVA SANTA ROSA,928,DU07,SECTOR 09,,
NUEVA VIERA,R4,724,COLONIA NUEVA VIERA,1630,DU02,SECTOR 16,,
NUEVAS DELICIAS,R3,983,COLONIA NUEVAS DELICIAS,2423,DU04,SECTOR 24,,
NUEVO AMANECER,R3,29,COLONIA NUEVO AMANECER,1217,DU04,SECTOR 12,,
NUEVO EDEN,R3,723,COLONIA NUEVO EDEN,1640,DU02,SECTOR 16,,
NUEVO LOARQUE,R2,376,COLONIA NUEVO LOARQUE,2107,DU09,SECTOR 21,,
NUEVOS HORIZONTES,R3,963,COLONIA NUEVOS HORIZONTES,2510,DU06,SECTOR 25,,
OASIS,R3,,,,,,,
OBELISCO,CH,506,BARRIO EL OBELISCO,612,DU01,SECTOR 06,,
OBRERA,R3,759,COLONIA LA OBRERA,738,DU06,SECTOR 07,,
OLIMPO,R4,,,,,,,
OLIMPUS,R4,734,RESIDENCIAL VILLA OLIMPUS,1645,DU02,SECTOR 16,,
OSCAR A. FLORES,R3,287,COLONIA OSCAR A FLORES,2216,DU04,SECTOR 22,,
OSCAR CASTRO TEJEDA,R3,28,COLONIA OSCAR CASTRO TEJADA,1236,DU04,SECTOR 12,,
PABLO PORTILLO,R3,,,,,,,
PAGODA,D3,496,BARRIO LA PAGODA,505,DU02,SECTOR 05,,
PALERMO,D3,490,COLONIA PALERMO,501,DU02,SECTOR 05,,
PALMA REAL,R3,440,RESIDENCIAL PALMA REAL,2330,DU04,SECTOR 23,,
PALMIRA,D3,488,COLONIA PALMIRA,433,DU02,SECTOR 04,,
PARQUE LOGISTICO AMARATECA (CONDOMINIO HORIZONTAL),D1,,,,,,,
PARQUE NACIONAL ONU,AR,,,,,,,
PARTE JARDINES DE SAN JOSE,R3,286,COLONIAI JARDINES DE SAN JOSE,2207,DU04,SECTOR 22,,
PASEO LAS CAMPANAS,R3,,,,,,,
PASEO LIQUIDAMBAR,R1,,,,,,,
PEDREGALITO,R3,766,COLONIA PEDREGALITO,707,DU05,SECTOR 07,,
PEÑA VIEJA,R3,,,,,,,
PENIEL,R3,,,,,,,
PERITOS MERCANTILES (EL CONTAD),R3,34,COLONIA PERITOS MERCANTILES,1226,DU04,SECTOR 12,,
PERPETUO SOCORRO,R3,504,BARRIO PERPETUO SOCORRO,607,DU05,SECTOR 06,,
PICACHITO,R3,528,COLONIA PICACHITO,801,DU07,SECTOR 08,,
PINARES DE SANTA CRUZ,UR,,,,,,,
PINO VERDE,R3,,,,,,,
PLAN DE LOS PINOS,R3,868,COLONIA PLAN DE LOS PINOS,2601,DU09,SECTOR 26,,
PLANES DEL BERRINCHE O COLONIA SOTO,R3,758,COLONIA SOTO O PLANES DEL BERRINCHE,730,DU06,SECTOR 07,,
PLANES DEL CARRIZAL,R3,,,,,,,
POLICARPO PAZ GARCIA,R4,798,COLONIA POLICARPO PAZ,715,DU05,SECTOR 07,,
POPULAR,R3,346,COLONIA LA POPULAR,2110,DU03,SECTOR 21,,
PORTAL DE AGUA DULCE (CONDOMINIO HORIZONTAL),R4,442,URBANIZACION AGUA DULCE,2328,DU04,SECTOR 23,,
PORTAL DE LAS FLORES (CIRCUITO CERRADO),R1,997,PORTAL DE LAS FLORES,0,DU04,SECTOR 24,,
PORTAL DEL BOSQUE I,R3,394,RESIDENCIAL PORTAL DEL BOSQUE I,2349,DU04,SECTOR 23,,
PORTAL DEL BOSQUE II ETAPA,R4,435,RESIDENCIAL PORTAL DEL BOSQUE II,2367,DU04,SECTOR 23,,
PORTAL DEL CASTAÑO,R1,824,RESIDENCIAL PORTAL DEL CASTAÑOS,0,DU02,SECTOR 10,,
PRADERA,R3,976,COLONIA LA PRADERA,2406,DU04,SECTOR 24,,
PRADERAS DIGNAS I Y II ETAPA,R4,,,,,,,
PRADO,R1,599,COLONIA EL PRADO,1102,DU02,SECTOR 11,,
PRADO VERDE,R4,738,RESIDENCIAL PRADO VERDE,1652,DU08,SECTOR 16,,
PRADOS UNIVERSITARIOS,R4,742,RESIDENCIAL PRADOS UNIVERSITARIOS,1621,DU08,SECTOR 16,,
PREDIOS DEL RECREO,R3,991,COLONIIA PREDIOS DEL RECREO,2430,DU04,SECTOR 24,,
PRIMAVERA,R4,608,COLONIA LA PRIMAVERA,1220,DU04,SECTOR 12,,
PRO PLAZA SAN IGNACIO 2004,R1,161,COLONIA SAN IGNACIO,1802,DU02,SECTOR 18,,
PROFESIONALES,D1,665,COLONIA LOS PROFESIONALES,1706,DU02,SECTOR 17,,
PROGRESO,R3,643,COLONIA EL PROGRESO I,1384,DU05,SECTOR 13,,
PROGRESO # 2,R3,642,COLONIA EL PROGRESO II,1333,DU05,SECTOR 13,,
PROPIEDAD PRIVADA LAS TORRES,R3,994,COLONIA LAS TORRES,2417,DU04,SECTOR 24,,
PROVIDENCIA,R3,274,COLONIA LA PROVIDENCIA,2226,DU04,SECTOR 22,,
PROYECTO KASANDRA,R4,,,,,,,
PROYECTO SUYAPITA,R3,129,RESIDENCIAL SUYAPITA,1819,DU08,SECTOR 18,,
PUEBLO NUEVO,D3,485,BARRIO PUEBLO NUEVO,413,DU02,SECTOR 04,,
PUEBLO NUEVO,R3,61,COLONIA PUEBLO NUEVO,1377,DU11,SECTOR 13,,
PUNTA CALIENTE,R3,2,BARRIO PUNTA CALIENTE,206,DU07,,,
QUEZADA,R2,598,COLONIA QUEZADA,1103,DU02,SECTOR 11,,
QUINTA BELLA,R1,161,COLONIA SAN IGNACIO,1802,DU02,SECTOR 18,,
QUINTA GUAJINIQUIL,UR,,,,,,,
QUINTAS DE ZAMBRANO,UR,,,,,,,
RAFAEL LEONARDO CALLEJAS,R4,767,COLONIA RAFAEL L. CALLEJAS,708,DU05,SECTOR 07,,
RAMON AMAYA AMADOR,R4,76,COLONIA RAMON AMAYA AMADOR,1369,DU11,SECTOR 13,,
REAL DE LAS PALMAS,R4,,,,,,,
REFORMA,R2,24,COLONIA LA REFORMA,305,DU07,SECTOR 03,,
REPARTO MANDOFER,D1,821,COLONIA REPARTO MANDOFER,1024,DU02,SECTOR 10,,
REPARTO POR ARRIBA,R3,547,COLONIA EL REPARTO,902,DU07,SECTOR 09,,
REPARTO POR BAJO,R3,547,COLONIA EL REPARTO,902,DU07,SECTOR 09,,
REPUBLICA DE VENEZUELA,R3,611,COLONIA VENEZUELA,1210,DU11,SECTOR 13,,
RES BUENA VISTA,R3,455,RESIDENCIAL BUENA VISTA,0,DU01,,,
RES LAS UVAS,R2,404,RESIDENCIAL LAS UVAS,2329,DU10,SECTOR 23,,
RES LUIMISA,R1-R2,,,,,,,
RES LUIS LANDA,R2,163,COLONIA LUIS LANDA,1805,DU02,SECTOR 18,,
RES PUERTA DEL SOL,R1,681,RESIDENCIAL PUERTA DEL SOL,1728,DU02,SECTOR 17,,
RES SANTA CECILIA,R4,848,RESIDENCIAL SANTA CECILIA,1329,DU05,SECTOR 13,,
RES. ALCAZAR DEL SUE,R3,,,,,,,
RES. ALTA VISTA,R3,,,,,,,
RES. ALTOS DE LAS HADAS,R2,403,RESIDENCIAL ALTOS DE LAS  HADAS,2333,DU04,SECTOR 23,,
RES. ALTOS DE SANTA ROSA,R3,878,COLONIA ALTOS DE SANTA ROSA,2713,DU09,SECTOR 27,,
RES. CENTROAMERICANA,R3,722,RESIDENCIAL VILLA CENTROAMERICANA,1622,DU02,SECTOR 16,,
RES. CONCEPCION,R3,892,RESIDENCIAL CONCEPCION,2821,DU10,SECTOR 28,,
RES. EL TABLON,R3,861,RESIDENCIAL EL TABLON,2608,DU09,SECTOR 26,,
RES. EL TRAPICHE,R1,90,RESIDENCIAL EL TRAPICHE,1726,DU02,SECTOR 17,,
RES. FRANCISCO MORAZAN,R3,68,RESIDENCIAL FRANCISCO MORAZAN,1354,DU11,SECTOR 13,,
RES. LA ALHAMBRA,HATILLO,660,RESIDENCIAL LA ALHAMBRA,1513,DU07,SECTOR 15,,
RES. LA CAÑADA,R3,344,RESIDENCIAL LA CA√ëADA,2133,DU03,SECTOR 21,,
RES. LAS MARGARITAS,R3,,,,,,,
RES. LOS OLIVOS,R1,,,,,,,
RES. LOS PORTALES,R4,177,RESIDENCIAL LOS PORTALES,2028,DU09,SECTOR 20,,
RES. PINARES,HATILLO,542,RESIDENCIAL PINARES,911,DU07,SECTOR 09,,
RES. RAFAEL BARDALES BUESO INPREMA /COL RIO ALTO,R2-R3,554,COLONIA RIO ALTO,924,DU07,SECTOR 09,,
RES. SAN IGNACIO,R1,161,COLONIA SAN IGNACIO,1802,DU02,SECTOR 18,,
RES. SAN JUAN,R3,145,RESIDENCIAL SAN JUAN,1821,DU08,SECTOR 18,,
RES. TONCONTIN,R3,438,RESIDENCIAL TONCONTIN,2331,DU04,SECTOR 23,,
RES. VIERA,R3,468,COLONIA VIERA,301,DU07,SECTOR 03,,
RES. VILLA DELMY,R3,550,RESIDENCIAL VILLA DELMY,914,DU07,SECTOR 09,,
RES. VILLA ELENA (PARTE),R1,,,,,,,
RES. VILLAS DEL REAL,R3,,,,,,,
RES. VILLAS PALMERAS,R1,89,RESIDENCIAL VILLA PALMERAS,1727,DU02,SECTOR 17,,
RESIDENCIAL - 3410- COL SAN IGNACIO,R3,161,COLONIA SAN IGNACIO,1802,DU02,SECTOR 18,,
RESIDENCIAL 3 CAMINOS,R2,668,COLONIA TRES CAMINOS,1705,DU02,SECTOR 17,,
RESIDENCIAL LAS CANARIAS,R3,388,RESIDENCIAL LAS CANARIAS II ETAPA,2368,DU10,SECTOR 23,,
RESIDENCIAL MAYA,R3,721,RESIDENCIAL MAYA,1629,DU02,SECTOR 16,,
RESIDENCIAL MONTELIMAR,R4,285,COLONIA MONTELIMAR,2219,DU04,SECTOR 22,,
RESIDENCIAL PARIS,R4,380,RESIDENCIAL PARIS,2154,DU09,SECTOR 21,,
RESIDENCIAL PLAZA,R3,200,RESIDENCIAL PLAZA,2017,DU03,SECTOR 20,,
RESIDENCIAL PLAZA CIRCUITO CERRADO SUB DIVISION,R4,200,RESIDENCIAL PLAZA,2017,DU03,SECTOR 20,,
RESIDENCIAL SANTA CRUZ I YII,R3,387,RESIDENCIAL SANTA CRUZ I ETAPA,2357,DU10,SECTOR 23,,
RESIDENCIAL SUYAPITA,R4,129,RESIDENCIAL SUYAPITA,1819,DU08,SECTOR 18,,
RESIDENCIAL YAGUARUNDI,HATILLO,,,,,,,
RIO ALTO 2004,R2,557,COLONIA VILLAS DEL RIO,915,DU07,SECTOR 09,,
RIO GRANDE NORTE,R2,372,COLONIA RIO GRANDE NORTE,2103,DU09,SECTOR 21,,
RIO GRANDE SUR,R3,373,COLONIA RIO GRANDE SUR,0,DU09,SECTOR 21,,
RIVAS,R3,1000,COLONIA RIVAS,2405,DU04,SECTOR 24,,
RIVERA DE LA VEGA,R4,293,COLONIA RIVERAS DE LA VEGA,2220,DU04,SECTOR 22,,
ROBERTO SUAZO CORDOVA NRO. 1,R3,275,COLONIA ROBERTO SUAZO CORDOVA,2203,DU04,SECTOR 22,,
ROBLE ALTO,R3,428,RESIDENCIAL ROBLE ALTO I ETAPA,2304,DU04,SECTOR 23,,
ROBLE ALTO II,R2,428,RESIDENCIAL ROBLE ALTO I ETAPA,2304,DU04,SECTOR 23,,
"ROBLE OESTE I, II, III, IV, V Y VI ETAPA",R3,430,RESIDENCIAL ROBLE OESTE I ETAPA,2346,DU04,SECTOR 23,,
RODIMIRO ZELAYA,R3,,,,,,,
RODRIGUEZ,R3,514,COLONIA RODRIGUEZ,616,DU05,SECTOR 06,,
ROMA,R3,240,COLONIA ROMA,2118,DU03,SECTOR 21,,
ROSALINDA,R3,778,COLONIA ROSALINDA,754,DU06,SECTOR 07,,
RUBEN ANTUNEZ,R1,88,COLONIA RUBEN ANTUNEZ,1707,DU02,SECTOR 17,,
RUBEN DARIO,R1,590,COLONIA RUBEN DARIO,1002,DU02,SECTOR 10,,
SABANA DEL RINCON,R3,,,,,,,
SABANAGRANDE,D1,480,BARRIO SABANAGRANDE,419,DU02,SECTOR 04,,
SAGASTUME,R3,526,COLONIA SAGASTUME,823,DU07,SECTOR 08,,
SAN ANGEL,R4,164,COLONIA SAN ANGEL,2010,DU03,SECTOR 20,,
SAN BUENAVENTURA,R3,57,COLONIA  SAN BUENAVENTURA,1380,DU11,SECTOR 13,,
SAN CARLOS,D3,483,COLONIA SAN CARLOS,407,DU02,SECTOR 04,,
SAN CRISTOBAL,R3,806,COLONIA SAN CRISTOBAL,735,DU05,SECTOR 07,,
SAN FELIPE,D1,482,BARRIO SAN FELIPE,412,DU02,SECTOR 04,,
SAN FRANCISCO,R3,653,COLONIA SAN FRANCISCO,1311,DU11,SECTOR 13,,
SAN IGNACIO FODENOR,R1,161,COLONIA SAN IGNACIO,1802,DU02,SECTOR 18,,
SAN JORGE,R1,609,BARRIO SAN JORGE,1204,DU04,SECTOR 12,,
SAN JOSE,R3,,,,,,,
SAN JOSE DE LA MONTAÑA,R3,453,COLONIA SAN JOSE DE LA MONTA√ëA,208,DU07,,,
SAN JOSE DE LA PEÑA,R3,347,COLONIA SAN JOSE DE LA PE√ëA,2111,DU03,SECTOR 21,,
SAN JOSE DE LA VEGA,R4,,,,,,,
SAN JOSE DE LOARQUE,R3,911,COLONIA  SAN JOSE DE LOARQUE,2308,DU10,SECTOR 28,,
SAN JOSE DE LOS LLANOS,R3,263,COLONIA SAN JOSE DE LOS LLANOS,2119,DU03,SECTOR 21,,
SAN JOSE DE LOS LLANOS,R4,263,COLONIA SAN JOSE DE LOS LLANOS,2119,DU03,SECTOR 21,,
SAN JOSE DEL PEDREGAL,R3,277,COLONIA SAN JOSE DEL PEDREGAL,2205,DU04,SECTOR 22,,
SAN JUAN BOSCO,R3,938,COLONIA SAN JUAN BOSCO,2516,DU11,SECTOR 25,,
SAN JUAN DE DIOS,R3,510,BARRIO SAN JUAN DE DIOS,1339,DU05,SECTOR 13,,
SAN JUAN DE PUNTARENAS,R3,,,,,,,
SAN JUAN DEL NORTE,R4,780,COLONIA SAN JUAN DEL NORTE,0,DU06,SECTOR 07,,
SAN LORENZO,R3,960,COLONIA SAN LORENZO,2532,DU06,SECTOR 25,,
SAN LUIS,R3,984,COLONIA SAN LUIS,2408,DU04,SECTOR 24,,
SAN MARTIN,R3,803,BARRIO SAN MARTIN,740,DU06,SECTOR 07,,
SAN MIGUEL,R3,718,COLONIA SAN MIGUEL,1614,DU02,SECTOR 16,,
SAN MIGUEL 1,R3,718,COLONIA SAN MIGUEL,1614,DU02,SECTOR 16,,
SAN MIGUEL ARCANGEL,R3,,,,,,,
SAN RAFAEL,R1,489,BARRIO SAN RAFAEL,415,DU02,SECTOR 04,,
SAN RAFAEL,R2,603,COLONIA SAN RAFAEL,1105,DU02,SECTOR 11,,
SAN RAFAEL HM,R2,489,BARRIO SAN RAFAEL,415,DU02,SECTOR 04,,
SANTA ANA,R3,,,,,,,
SANTA ANITA O QUEBRACHAL,R3,725,COLONIA SANTA ANITA O QUEBRACHAL,1620,DU02,SECTOR 16,,
SANTA BARBARA,R3,992,COLONIA SANTA BARBARA,2418,DU04,SECTOR 24,,
SANTA CECILIA # 1,R3,614,COLONIA SANTA CECILIA No.1,1326,DU05,SECTOR 13,,
SANTA CECILIA # 2,R3,614,COLONIA SANTA CECILIA No.1,1326,DU05,SECTOR 13,,
SANTA CLARA,R4,872,RESIDENCIAL SANTA CLARA,2717,DU09,SECTOR 27,,
SANTA CRUZ ABAJO (CASERIO EL PORTILLO DEL DURAZNO),R3,843,CASERIO EL PORTILLO,1405,DU06,SECTOR 14,,
SANTA CRUZ ARRIBA (CASERIO SANTA CRUZ ARRIBA),R3,,,,,,,
SANTA CRUZ II ETAPA,R3,386,RESIDENCIAL SANTA CRUZ II ETAPA,2365,DU10,SECTOR 23,,
SANTA CRUZ III ETAPA,R3,445,RESIDENCIAL SANTA CRUZ III ETAPA,2344,DU10,SECTOR 23,,
SANTA EDUVIGES,R3,62,COLONIA SANTA EDUVIGES,1308,DU11,SECTOR 13,,
SANTA FE,R3,765,COLONIA SANTA FE,711,DU05,SECTOR 07,,
SANTA ISABEL,R1,736,COLONIA SANTA ISABEL,1610,DU02,SECTOR 16,,
SANTA ISABEL,R3,776,COLONIA SANTA ISABEL,717,DU06,SECTOR 07,,
SANTA ISABEL,R3,196,COLONIA LAS PALMAS,2004,DU03,SECTOR 20,,
SANTA MARGARITA,R3,563,COLONIA VILLA SANTA MARGARITA,942,DU07,SECTOR 09,,
SANTA MARIA,R3,0,RESIDENCIAL SANTA MARIA,2921,DU08,SECTOR 29,,
SANTA ROSA (CASERIO SANTA ROSA),R3,,,,,,,
SANTO DOMINGO,R3,280,COLONIA SANTO DOMINGO,2209,DU04,SECTOR 22,,
SAUCIQUE,R3,525,BARRIO SAUCIQUE,802,DU07,SECTOR 08,,
SELECTA,D3,,,,,,,
SEMPE,R3,714,COLONIA SEMPE,1606,DU08,SECTOR 16,,
SIPILE,CH/R4,500,BARRIO SIPILE,610,DU06,SECTOR 06,,
SIRIA,R3,,,,,,,
SITIO ARRIBA,R3,537,COLONIA SITIO ARRIBA,927,DU07,SECTOR 09,,
SMITH NO 1,R3,959,COLONIA SMITH No.1,2511,DU06,SECTOR 25,,
SMITH NO 2,R3,964,COLONIA SMITH No.2,2511,DU06,SECTOR 25,,
SUAZO CORDOBA,R4,551,COLONIA ROBERTO SUAZO CORDOVA,919,DU07,SECTOR 09,,
SUB DIVISION DE LOTE CIUDAD LEMPIRA,R4,82,RESIDENCIAL CIUDAD LEMPIRA III ETAPA,1362,DU11,SECTOR 13,,
SUB DIVISION LAS HADAS,R3,414,RESIDENCIAL LAS HADAS,2319,DU04,SECTOR 23,,
SUPERACION,R4,618,COLONIA SUPERACION,1352,DU11,SECTOR 13,,
TIBURCIO CARIAS ANDINO,R3,,,,,,,
TIERRA BLANCA,R3,,,,,,,
TILOARQUE NO. 1,R3,610,COLONIA TILOARQUE,1205,DU04,SECTOR 12,,
TILOARQUE NO. 2,R3,610,COLONIA TILOARQUE,1205,DU04,SECTOR 12,,
TILOARQUE NORTE,R3,27,COLONIA TILOARQUE NORTE,1218,DU04,SECTOR 12,,
TONCONTIN,R3,438,RESIDENCIAL TONCONTIN,2331,DU04,SECTOR 23,,
TONW HOUSE EL PUEBLO SAN IGNACIO,R1,161,COLONIA SAN IGNACIO,1802,DU02,SECTOR 18,,
TOROCAGUA,R3,768,COLONIA TOROCAGUA,710,DU05,SECTOR 07,,
TRAVESIA,R3,0,COLONIA LA TRAVESIA,2913,DU08,SECTOR 16,,
TRAVESIA SECTOR 5,R3,,,,,,,
TRES CAMINOS NORTE,R1,668,COLONIA TRES CAMINOS,1705,DU02,SECTOR 17,,
TRES CAMINOS SUR,R1,668,COLONIA TRES CAMINOS,1705,DU02,SECTOR 17,,
TRINIDAD,R3,711,COLONIA LA TRINIDAD,1603,DU08,SECTOR 16,,
UNAH,G,669,UNAH,0,DU02,SECTOR 17,,
UNIDAD Y FUERZA,R3,923,COLONIA UNIDAD Y FUERZA,2538,DU11,SECTOR 25,,
UNION Y ESFUERZO,R3,,,,,,,
UNIVERSIDAD NORTE,R3,673,COLONIA UNIVERSIDAD NORTE,1701,DU02,SECTOR 17,,
UNIVERSIDAD NORTE ETAPA 1,R3,673,COLONIA UNIVERSIDAD NORTE,1701,DU02,SECTOR 17,,
UNIVERSIDAD NORTE ETAPA 2,R3,673,COLONIA UNIVERSIDAD NORTE,1701,DU02,SECTOR 17,,
UNIVERSIDAD SUYAPA,R3,0,COLONIA UNIVERSIDAD SUYAPA,0,DU08,SECTOR 29,,
URBANIZACION ENMANUEL,R3,876,RESIDENCIAL ENMANUEL,2720,DU09,SECTOR 27,,
URBANIZACION LAS TORRES,R2,994,COLONIA LAS TORRES,2417,DU04,SECTOR 24,,
URBANIZACION LOMAS DEL SUR,R4,,,,,,,
URBANIZACION LOMAS DEL TIZATILLO,R3,870,COLONIA LOMAS DEL TIZATILLO,0,DU09,SECTOR 27,,
VALENCIA,R3,142,RESIDENCIAL VALENCIA,1814,DU02,SECTOR 18,,
VEGAS DE LA JOYA,R3,203,RESIDENCIAL VEGAS DE LA JOYA,2031,DU03,SECTOR 20,,
