Seq,Neighborhood,City,Sector,Zone,objectid,Neighborhood,Corr,Dist,SectorGis,,
354,COLINA DE MAYANGLE,COMAYAGÜELA,13,R2,468,COLINAS DEL MAYANGLE,762,DU05,SECTOR 07,,
845,COLONIA BERLIN,COMAYAGÜELA,25,R3,,,,,,,
452,COLONIA ESTADOS UNIDOS,TEGUCIGALPA,16,R4,710,COLONIA ESTADOS UNIDOS,1601,DU08,SECTOR 16,,
453,COLONIA NUEVA EDEN,TEGUCIGALPA,16,R3,723,COLONIA NUEVO EDEN,1640,DU02,SECTOR 16,,
846,COLONIA SIN IDENTIFOCAR,COMAYAGÜELA,25,R3,,,,,,,
355,COLUMBUS STALDI,COMAYAGÜELA,13,R3,941,COLONIA NUEVA PROVIDENCIA,2531,DU11,SECTOR 25,,
454,COMPLEJO  INDUSTRIAL SAN MIGUEL 1,TEGUCIGALPA,16,ZI,851,COMPLEJO INDUSTRIAL SAN MIGUEL,0,DU07,SECTOR 16,,
275,COMPLEJO HABITACIONAL LA HUMUYA (CONDOMINIO HORIZONTAL),COMAYAGÜELA,11,R3,601,COLONIA HUMUYA,1101,DU02,SECTOR 11,,
455,COMPLEJO INDUSTRIAL SAN MIGUEL 2,TEGUCIGALPA,16,ZI,851,COMPLEJO INDUSTRIAL SAN MIGUEL,0,DU07,SECTOR 16,,
658,COMUNIDAD SOCIAL,TEGUCIGALPA,21,R3,,,,,,,
98,CONCEPCION,COMAYAGÜELA,6,CH,502,BARRIO CONCEPCION,606,DU01,SECTOR 06,,
978,CONCEPCION II ETAPA,TEGUCIGALPA,35,R3,,,,,,,
501,CONDOMINIOS EL MIRADOR,TEGUCIGALPA,17,R4,675,CONDOMINIOS  EL MIRADOR,0,DU02,SECTOR 17,,
744,CONDOMINIOS TONCONTIN,TEGUCIGALPA,23,R3,,,,,,,
44,CONDOMINIOS VIERA,TEGUCIGALPA,3,R1,18,CONDOMINIOS VIERA,316,DU07,SECTOR 03,,
295,CONTADOR,COMAYAGÜELA,12,R4,,,,,,,
847,CONTINENTAL,COMAYAGÜELA,25,R3,,,,,,,
356,COUNTRY CLUB,COMAYAGÜELA,13,R2,,,,,,,
540,COVESPUL,TEGUCIGALPA,18,R4,,,,,,,
659,COVIDEPROL / LA ROMA,TEGUCIGALPA,21,R3,,,,,,,
357,CRISTOBAL DIAZ,COMAYAGÜELA,13,R3,640,COLONIA CRISTOBAL DIAZ,1341,DU05,SECTOR 13,,
255,CRUZ LARGA,TEGUCIGALPA,10,D1,597,COLONIA CRUZ LARGA,1027,DU02,SECTOR 10,,
895,CRUZ ROJA,TEGUCIGALPA,27,R4,,,,,,,
358,DAVID BETANCOURTH,COMAYAGÜELA,13,R3,78,COLONIA DAVID BETANCOURHT,1371,DU11,SECTOR 13,,
612,DIOS PROVEERA,TEGUCIGALPA,20,R4,,,,,,,
359,DIVANNA,COMAYAGÜELA,13,R4,641,COLONIA DIVANNA,1343,DU05,SECTOR 13,,
992,DIVINA PROVIDENCIA,TEGUCIGALPA,41,R3,,,,,,,
130,DULCE NOMBRE DE JESUS,COMAYAGÜELA,7,R3,,,,,,,
131,EL BERRINCHE (PLANES),TEGUCIGALPA,7,R3,758,COLONIA SOTO O PLANES DEL BERRINCHE,730,DU06,SECTOR 07,,
22,EL BOSQUE,TEGUCIGALPA,2,R3,4,BARRIO EL BOSQUE,202,DU07,,,
99,EL CALVARIO,COMAYAGÜELA,6,CH/R4,507,BARRIO EL CALVARIO,609,DU05,SECTOR 06,,
86,EL CARMELO,TEGUCIGALPA,5,D3,,,,,,,
431,EL CARPINTERO,TEGUCIGALPA,15,HATILLO,658,CARPINTERO,1508,DU07,SECTOR 15,,
708,EL CARRIZAL,,22,R3,,,,,,,
132,EL CARRIZAL NO.2,COMAYAGÜELA,7,R3,775,COLONIA EL CARRIZAL,716,DU06,SECTOR 07,,
848,EL CARRIZAL NO.2,COMAYAGÜELA,25,R3,,,,,,,
849,EL CARRIZAL ZONA 3,COMAYAGÜELA,25,R3,,,,,,,
850,EL CARRIZAL ZONA 4,COMAYAGÜELA,25,R3,,,,,,,
65,EL CASTAÑO (LOS CASTANOS),TEGUCIGALPA,4,R1,486,COLONIA LOS CASTAÑOS,401,DU02,SECTOR 04,,
100,EL CENTRO (COMAYAGUELA),COMAYAGÜELA,6,CH,498,BARRIO CENTRO DE COMAYAGUELA,617,DU01,SECTOR 06,,
133,EL CHILE,TEGUCIGALPA,7,R3,755,BARRIO CHILE,732,DU06,SECTOR 07,,
214,EL CHIMBO,TEGUCIGALPA,9,R3,536,ALDEA  EL CHIMBO,9996,DU07,SECTOR 09,,
709,EL COCO,COMAYAGÜELA,22,R3,,,,,,,
579,EL DORADO,TEGUCIGALPA,19,R2,,,,,,,
745,EL DORAL CON EXP 5640-11,TEGUCIGALPA,23,R2,,,,,,,
23,EL EDEN,TEGUCIGALPA,2,R3,11,BARRIO EL EDEN,204,DU07,,,
360,EL EDEN NO 1,COMAYAGÜELA,13,R3,59,COLONIA EL EDEN,1309,DU11,SECTOR 13,,
801,EL ESTIQUIRIN,COMAYAGÜELA,24,R4,,,,,,,
432,EL HATILLO,TEGUCIGALPA,15,HATILLO,539,ALDEA EL HATILLO,1509,DU07,SECTOR 15,,
580,EL HOGAR,TEGUCIGALPA,19,R2,,,,,,,
940,EL INFIERNITO,TEGUCIGALPA,29,R3,,,,,,,
192,EL JAPON,TEGUCIGALPA,8,R3,527,COLONIA EL JAPON,819,DU07,SECTOR 08,,
3,EL JASMIN,TEGUCIGALPA,1,CH,15,BARRIO EL JAZMIN,104,DU01,,,
419,EL LOLO,COMAYAGÜELA,14,R3,841,CASERIO EL LOLO,1403,DU06,SECTOR 14,,
45,EL MANCHEN,TEGUCIGALPA,3,R3,470,BARRIO EL MANCHEN,303,DU07,SECTOR 03,,
456,EL MOLINO 16,TEGUCIGALPA,16,R3,,,,,,,
660,EL MOLINO 21,TEGUCIGALPA,21,R3,,,,,,,
457,EL MOLINON,TEGUCIGALPA,16,R4,713,RESIDENCIAL EL MOLINON,1644,DU08,SECTOR 16,,
4,EL OLVIDO,TEGUCIGALPA,1,CH,17,BARRIO EL OLVIDO,105,DU01,,,
134,EL PASTEL,COMAYAGÜELA,7,R3,802,BARRIO EL PASTEL,739,DU06,SECTOR 07,,
851,EL PEDERNAL,COMAYAGÜELA,25,R3,,,,,,,
215,EL PILIGUÍN (COLONIA EL TRIGO),TEGUCIGALPA,9,HATILLO,538,EL TRIGO,940,DU07,SECTOR 09,,
420,EL PORTILLO 14,TEGUCIGALPA,14,R3,843,CASERIO EL PORTILLO,1405,DU06,SECTOR 14,,
917,EL PORTILLO 28,TEGUCIGALPA,28,R3,,,,,,,
135,EL PORVENIR,TEGUCIGALPA,7,R3,756,COLONIA  EL PORVENIR,731,DU06,SECTOR 07,,
361,EL PROGRESO # 1,COMAYAGÜELA,13,R3,643,COLONIA EL PROGRESO I,1384,DU05,SECTOR 13,,
216,EL REPARTO,TEGUCIGALPA,9,R3,547,COLONIA EL REPARTO,902,DU07,SECTOR 09,,
362,EL RETIRO,COMAYAGÜELA,13,R4,60,COLONIA EL RETIRO,1350,DU11,SECTOR 13,,
217,EL RINCON,TEGUCIGALPA,9,R3/HATILLO,571,COLONIA LA LEONA DEL RINCON,941,DU07,SECTOR 09,,
136,EL ROSARIO,COMAYAGÜELA,7,R3,770,COLONIA ROSARIO,713,DU05,SECTOR 07,,
746,EL SAUCE,TEGUCIGALPA,23,R3,,,,,,,
941,EL SITIO,TEGUCIGALPA,29,R3,,,,,,,
942,EL SITIO ARRIBA,TEGUCIGALPA,29,R3,,,,,,,
943,EL SITIO/98,TEGUCIGALPA,29,R4,,,,,,,
101,EL SOCORRO,COMAYAGÜELA,6,R3,817,COLONIA  EL SOCORRO,608,DU05,SECTOR 06,,
993,EL STIBYS / ECO URBANIZACIONES,TEGUCIGALPA,41,UR/R4,,,,,,,
884,EL TABLON,TEGUCIGALPA,26,R4,,,,,,,
296,EL TREBOL,COMAYAGÜELA,12,R2,45,COLONIA EL TREBOL,1231,DU04,SECTOR 12,,
218,EL TRIGO,TEGUCIGALPA,9,HATILLO,538,EL TRIGO,940,DU07,SECTOR 09,,
541,EL ZANCUDO,TEGUCIGALPA,18,R3,,,,,,,
852,ELECTROCENTRO,COMAYAGÜELA,25,R3,,,,,,,
276,ELVEL,TEGUCIGALPA/ COMAYAGUELA,11,R2,604,COLONIA  ELVEL,1107,DU02,SECTOR 11,,
363,EMBALSE DE LA REPRESA LAURELES,COMAYAGÜELA,13,AR,998,REPRESA LOS LAURELES,0,,SECTOR 24,,
896,ENMANUEL,TEGUCIGALPA,27,R3,,,,,,,
433,ENTRE PINOS,TEGUCIGALPA,15,HATILLO,664,RESIDENCIAL ENTREPINOS 1,1515,DU07,SECTOR 15,,
581,EQUIPAMIENTO GUBERNAMENTAL,TEGUCIGALPA,19,G,,,,,,,
944,ERA #1,TEGUCIGALPA,29,R3,,,,,,,
945,ERA #1,TEGUCIGALPA,29,R3,,,,,,,
661,ERENDIDA (LAS VEGAS),TEGUCIGALPA,21,R4,,,,,,,
364,ESPIRITU SANTO,COMAYAGÜELA,13,R3,613,COLONIA ESPIRITU SANTO,1327,DU05,SECTOR 13,,
87,ESTADIO NACIONAL,COMAYAGÜELA,5,AR,685,ESTADIO NACIONAL,0,DU02,SECTOR 05,,
193,ESTRELLA,TEGUCIGALPA,8,R3,820,BARRIO LA ESTRELLA,806,DU07,SECTOR 08,,
662,FABRICA TEXTILES RIO LINDO,TEGUCIGALPA,21,ZI,,,,,,,
710,FABRICA TEXTILES RIO LINDO,COMAYAGÜELA,22,ZI,,,,,,,
365,FATIMA NRO. 1,COMAYAGÜELA,13,R3,55,COLONIA FATIMA,1316,DU11,SECTOR 13,,
366,FATIMA NRO. 2,COMAYAGÜELA,13,R3,55,COLONIA FATIMA,1316,DU11,SECTOR 13,,
946,FEHCOVIL,TEGUCIGALPA,29,R3,,,,,,,
219,FERNANDO,TEGUCIGALPA,9,R3,478,COLONIA FERNANDO CALDERON,0,DU07,SECTOR 09,,
66,FINCA VALLADARES,TEGUCIGALPA,4,R1,,,,,,,
5,FINLAY,TEGUCIGALPA,1,CH,464,BARRIO LA RONDA,111,DU01,,,
137,FLOR # 1,COMAYAGÜELA,7,R3,788,COLONIA FLOR No. 1,725,DU06,SECTOR 07,,
138,FLOR # 2,COMAYAGÜELA,7,R3,805,COLONIA FLOR No. 2,741,DU06,SECTOR 07,,
802,FLOR DEL CAMPO (LAS DELICIAS),COMAYAGÜELA,24,R3,,,,,,,
502,FLORENCIA NORTE,TEGUCIGALPA,17,R1,667,COLONIA FLORENCIA NORTE,1702,DU02,SECTOR 17,,
503,FLORENCIA OESTE,TEGUCIGALPA,17,R1,666,COLONIA FLORENCIA OESTE,1704,DU02,SECTOR 17,,
504,FLORENCIA SUR,TEGUCIGALPA,17,R1-R2,86,COLONIA FLORENCIA SUR,1703,DU02,SECTOR 17,,
897,FLORENTINOS,TEGUCIGALPA,27,R3,,,,,,,
947,FLORES DE ORIENTE,TEGUCIGALPA,29,R3,,,,,,,
194,FLORESTA DEL PICACHO,TEGUCIGALPA,8,HATILLO,533,RESIDENCIAL FLORESTA DEL PICACHO,842,DU07,SECTOR 08,,
853,FRANCISCO MORAZAN,COMAYAGÜELA,25,R4,,,,,,,
711,FRANCISCO MURILLO SOTO,COMAYAGÜELA,22,R3,,,,,,,
67,FRATERNIDAD,TEGUCIGALPA,4,R3,559,COLONIA LA FRATERNIDAD,905,DU02,SECTOR 09,,
139,FRATERNIDAD PESPIRENSE,COMAYAGÜELA,7,R4,846,COLONIA FRATERNIDAD PESPIRENSE,0,DU06,SECTOR 07,,
367,FUENTE DE VIDA (NUEVA ALDEA),COMAYAGÜELA,13,R3,648,COLONIA LA FUENTE I  ETAPA,1345,DU11,SECTOR 13,,
140,FUERZAS ARMADAS,COMAYAGÜELA,7,R3,792,COLONIA FUERZAS ARMADAS,768,DU05,SECTOR 07,,
854,FUERZAS UNIDAS,COMAYAGÜELA,25,R3,,,,,,,
855,GENERACION 2000,COMAYAGÜELA,25,R3,,,,,,,
898,"GERMANIA (CASERIOS GERMANIA, LOS JUTES Y PASO ANCH",TEGUCIGALPA,27,SECTOR 27,,,,,,,
220,GIRASOLES,TEGUCIGALPA,9,R3,558,COLONIA GIRASOLES,908,DU07,SECTOR 09,,
542,GLORIA A DIOS,TEGUCIGALPA,18,R4,,,,,,,
856,GRACIAS A DIOS,COMAYAGÜELA,25,R3,,,,,,,
434,GRAN MIRADOR,TEGUCIGALPA,15,R1,816,EL GRAN MIRADOR,0,DU07,SECTOR 15,,
141,GRANADA,COMAYAGÜELA,7,R3,764,COLONIA  GRANADA,705,DU05,SECTOR 07,,
297,GUACERIQUE,COMAYAGÜELA,12,R3,600,BARRIO GUACERIQUE,1202,DU04,SECTOR 12,,
88,GUADALUPE,COMAYAGÜELA,5,D3,491,BARRIO LA GUADALUPE,507,DU02,SECTOR 05,,
6,GUAJOCO,TEGUCIGALPA,1,CH,459,BARRIO GUAJOCO,121,DU01,,,
142,GUAMILITO,COMAYAGÜELA,7,R4,760,COLONIA GUAMILITO,755,DU06,SECTOR 07,,
7,GUANACASTE,TEGUCIGALPA,1,CH,20,BARRIO GUANACASTE,106,DU07,,,
221,GUILLEN,TEGUCIGALPA,9,R3,548,COLONIA GUILLEN,906,DU07,SECTOR 09,,
857,GUZMAN,COMAYAGÜELA,25,R3,,,,,,,
458,HACIENDA EL MOLINO,TEGUCIGALPA,16,R3,,,,,,,
505,HACIENDA EL TRAPICHE,TEGUCIGALPA,17,R1,90,RESIDENCIAL EL TRAPICHE,1726,DU02,SECTOR 17,,
506,HACIENDA HATO DE EN MEDIO,TEGUCIGALPA,17,R1,141,COLONIA HATO DE ENMEDIO SECTOR 1,1801,DU02,SECTOR 18,,
984,HACIENDA REAL I ETAPA,TEGUCIGALPA,36,R3,,,,,,,
985,HACIENDA REAL II ETAPA PARTE - A - Y PARTE -B-,TEGUCIGALPA,36,R3,,,,,,,
613,HAMBURGO 20,TEGUCIGALPA,20,R3,,,,,,,
885,HAMBURGO 26,TEGUCIGALPA,26,R3,,,,,,,
435,HATILLO,TEGUCIGALPA,15,HATILLO/ R3,539,ALDEA EL HATILLO,1509,DU07,SECTOR 15,,
543,HATO DE EN MEDIO FOSOVI,TEGUCIGALPA,18,R4,,,,,,,
544,HATO O SAN IGNACIO,TEGUCIGALPA,18,R1,,,,,,,
803,HENRY MERRIAN,COMAYAGÜELA,24,R3,,,,,,,
368,HOLLIWOOD,COMAYAGÜELA,13,R3,648,COLONIA LA FUENTE I  ETAPA,1345,DU11,SECTOR 13,,
614,HONDURAS,TEGUCIGALPA,20,R4,,,,,,,
277,HUMUYA,COMAYAGÜELA,11,R3,601,COLONIA HUMUYA,1101,DU02,SECTOR 11,,
143,IBERIA,COMAYAGÜELA,7,R3,629,COLONIA IBERIA,767,DU05,SECTOR 07,,
1023,"ILAMAPA, CIUDAD SATELITE",TEGUCIGALPA,46/4 7,R4,,,,,,,
144,INDEPENDENCIA,COMAYAGÜELA,7,R4,795,COLONIA LA INDEPENDENCIA,723,DU05,SECTOR 07,,
222,INDEPENDENCIA PORTILLO,TEGUCIGALPA,9,R3,,,,,,,
804,INESTROZA,TEGUCIGALPA/ COMAYAGÜELA,24,R3,,,,,,,
369,INSTALACIONES DEL SANAA,COMAYAGÜELA,13,R3,119,PLANTEL SANAA,0,DU03,SECTOR 21,,
370,INTERAMERICANA,COMAYAGÜELA,13,R2,634,COLONIA INTERAMERICANA,1332,DU05,SECTOR 13,,
371,ISRAEL,COMAYAGÜELA,13,R4,,,,,,,
372,ISRAEL NORTE,COMAYAGÜELA,13,R4,652,COLONIA  ISRAEL NORTE,1314,DU11,SECTOR 13,,
373,ISRAEL SUR,COMAYAGÜELA,13,R4,53,COLONIA ISRAEL SUR,1313,DU11,SECTOR 13,,
886,JACALEAPA (CASERIO EL JICARO),TEGUCIGALPA,26,R3,,,,,,,
899,JACALEAPA (LA CIENEGA),TEGUCIGALPA,27,R3,,,,,,,
46,JACARANDA,TEGUCIGALPA,3,R3,469,COLONA LAS JACARANDAS,310,DU07,SECTOR 03,,
223,JARDIN,TEGUCIGALPA,9,R3-R4,565,RESIDENCIAL EL JARDIN,937,DU07,SECTOR 09,,
47,JARDIN DE CASAMATA,TEGUCIGALPA,3,R3,19,BARRIO CASAMATA,302,DU07,SECTOR 03,,
48,JARDIN LAS COLINAS,TEGUCIGALPA,3,R3,471,COLONIA JARDINES LAS COLINAS,308,DU07,SECTOR 03,,
49,JARDIN LAS COLINAS,TEGUCIGALPA,3,R3,471,COLONIA JARDINES LAS COLINAS,308,DU07,SECTOR 03,,
68,JARDIN NORMA,TEGUCIGALPA,4,R1,473,COLONIA JARDIN NORMA,430,DU02,SECTOR 04,,
50,JARDIN SANTA ROSA,TEGUCIGALPA,3,R3,22,COLONIA JARDIN SANTA ROSA,306,DU07,SECTOR 03,,
69,JARDIN SONIA,TEGUCIGALPA,4,R1,,,,,,,
663,JARDINES DE LOARQUE,TEGUCIGALPA,21,R2,,,,,,,
747,JARDINES DE LOARQUE,TEGUCIGALPA,23,R2,,,,,,,
582,JARDINES DE MIRAFLORES,TEGUCIGALPA,19,R2,,,,,,,
712,JARDINES DE SAN JOSE,COMAYAGÜELA,22,R3,,,,,,,
713,JARDINES DE TONCONTIN,COMAYAGÜELA,22,R3,,,,,,,
805,JARDINES DE TONCONTIN,COMAYAGÜELA,24,R3,,,,,,,
858,JARDINES DEL CARRIZAL,COMAYAGÜELA,25,R4,,,,,,,
859,JARDINES DEL NORTE,COMAYAGÜELA,25,R3,,,,,,,
664,JESUS AGUILAR PAZ / OROPEL,TEGUCIGALPA,21,R3,,,,,,,
860,JOSE A DUARTE,COMAYAGÜELA,25,R4,,,,,,,
861,JOSE ANGEL ULLOA,COMAYAGÜELA,25,R4,,,,,,,
862,JOSE ARTURO DUARTE,COMAYAGÜELA,25,R3,,,,,,,
615,JOSE ROBERTO MOLINA MURILLO FONEDOR,TEGUCIGALPA,20,R3,,,,,,,
224,JOSE SIMON AZCONA,TEGUCIGALPA,9,R3,549,COLONIA JOSE SIMON AZCONA,948,DU07,SECTOR 09,,
583,"JOYAS DEL DORADO EXP. 1649-13, 4326-13",TEGUCIGALPA,19,R3,,,,,,,
102,JUAN LINDO,COMAYAGÜELA,6,R3,516,COLONIA JUAN LINDO,0,DU05,SECTOR 06,,
616,KENNEDY FOSOVI,TEGUCIGALPA,20,R3,,,,,,,
617,KENNEDY NORTE,TEGUCIGALPA,20,R4,,,,,,,
24,LA ALAMBRA,TEGUCIGALPA,2,R2,9,COLONIA ALAHAMBRA,210,DU01,,,
986,LA ARBOLEDA,TEGUCIGALPA,36,R4,,,,,,,
256,LA AURORA,TEGUCIGALPA,10,R1,588,COLONIA LA AURORA,1004,DU02,SECTOR 10,,
459,LA AURORA,TEGUCIGALPA,16,R3,,,,,,,
949,LA AURORA,TEGUCIGALPA,29,R3,,,,,,,
298,LA BOLSA,COMAYAGÜELA,12,R3,505,BARRIO LA BOLSA,1201,DU04,SECTOR 12,,
806,LA BURRERA,COMAYAGÜELA,24,R3,,,,,,,
25,LA CABAÑA,TEGUCIGALPA,2,CH/R2,460,BARRIO LA CABAÑA,203,DU07,,,
70,LA CAMPAÑA,TEGUCIGALPA,4,R1,474,COLONIA LA CAMPA√ëA,410,DU02,SECTOR 04,,
665,LA CAÑADA,TEGUCIGALPA,21,R4,,,,,,,
807,LA CAÑADA,COMAYAGÜELA,24,R3,,,,,,,
103,LA CHIVERA,COMAYAGÜELA,6,R3,499,BARRIO LA CHIVERA,611,DU06,SECTOR 06,,
145,LA CIDRA,COMAYAGÜELA,7,R3,,,,,,,
666,LA CIENEGA,TEGUCIGALPA,21,R3,,,,,,,
918,LA CONCEPCION,TEGUCIGALPA,28,R3,,,,,,,
8,LA CONCORDIA,TEGUCIGALPA,1,CH,7,BARRIO LA CONCORDIA,219,DU01,,,
51,LA CRUZ,TEGUCIGALPA,3,R3,468,COLONIA VIERA,301,DU07,SECTOR 03,,
421,LA CUESTA,COMAYAGÜELA,14,R3,,,,,,,
422,LA CUESTA No. 2 (CASERIO EL DURAZNO),COMAYAGÜELA,14,R3,844,ALDEA LA CUESTA No. 2,1407,DU06,SECTOR 14,,
423,"LA CUESTA NO. 2 (CASERIO EL LOLO, LA CUESTA No. 2)",COMAYAGÜELA,14,R3,844,ALDEA LA CUESTA No. 2,1407,DU06,SECTOR 14,,
257,LA CUMBRE,TEGUCIGALPA,10,R1,581,RESIDENCIAL LA CUMBRE,1007,DU02,SECTOR 10,,
374,LA ENTRADA CENTROAMERICA,COMAYAGÜELA,13,R4,,,,,,,
460,LA ERA N1,TEGUCIGALPA,16,R3,,,,,,,
146,LA ESPERANZA,COMAYAGÜELA,7,R3,769,BARRIO LA ESPERANZA,712,DU05,SECTOR 07,,
375,LA FATIMA,COMAYAGÜELA,13,R4,55,COLONIA FATIMA,1316,DU11,SECTOR 13,,
195,LA FINCA,TEGUCIGALPA,8,R3,,,,,,,
225,LA FLORIDA,TEGUCIGALPA,9,R4,568,RESIDENCIAL FLORIDA I ETAPA,945,DU07,SECTOR 09,,
26,LA FUENTE,TEGUCIGALPA,2,CH,8,BARRIO LA FUENTE,213,DU01,,,
376,LA FUENTE,COMAYAGÜELA,13,R3,648,COLONIA LA FUENTE I  ETAPA,1345,DU11,SECTOR 13,,
377,LA FUENTE No 2,COMAYAGÜELA,13,R4,648,COLONIA LA FUENTE I  ETAPA,1345,DU11,SECTOR 13,,
748,LA GRAN VILLA,TEGUCIGALPA,23,R2,,,,,,,
299,LA GRANJA,COMAYAGÜELA,12,R1,612,BARRIO LA GRANJA,1213,DU04,SECTOR 12,,
507,LA HACIENDA,TEGUCIGALPA,17,R1,682,RESIDENCIAL LA HACIENDA,1723,DU02,SECTOR 17,,
147,LA HAYA,COMAYAGÜELA,7,R3,763,COLONIA LA HAYA,704,DU05,SECTOR 07,,
9,LA HOYA,TEGUCIGALPA,1,CH,463,BARRIO LA HOYA,108,DU01,,,
89,LA HOYA,TEGUCIGALPA,5,D3,489,COLONIA LA HOYA,427,DU02,SECTOR 04,,
378,LA HUERTA,COMAYAGÜELA,13,R3,314,COLONIA LA HUERTA,0,DU11,SECTOR 13,,
226,LA JOYA,TEGUCIGALPA,9,R3,567,COLONIA LA JOYA,907,DU07,SECTOR 09,,
584,LA JOYA FOSOVI,TEGUCIGALPA,19,R3,,,,,,,
148,LA LAGUNA,COMAYAGÜELA,7,R3,790,COLONIA LA LAGUNA,721,DU05,SECTOR 07,,
27,LA LEONA,TEGUCIGALPA,2,CH,12,BARRIO LA LEONA,209,DU01,,,
28,LA LEONA DEL RINCON,TEGUCIGALPA,2,R4,571,LA LEONA DEL RINCON,941,DU07,Sector09,,
227,LA LEONA DEL RINCON,TEGUCIGALPA,9,R3,571,COLONIA LA LEONA DEL RINCON,941,DU07,SECTOR 09,,
545,LA LIBERTAD(SECTOR VILLANUEVA SUYAPA),TEGUCIGALPA,18,R3,,,,,,,
919,LA LIMA,TEGUCIGALPA,28,R3,,,,,,,
461,LA LOMA,TEGUCIGALPA,16,R3,,,,,,,
10,LA MERCED,TEGUCIGALPA,1,CH,,,,,,,
11,LA MONCADA,TEGUCIGALPA,1,CH,,,,,,,
12,LA PEDRERA,TEGUCIGALPA,1,CH,,,,,,,
1000,LA PEDRERA,TEGUCIGALPA,54,R3,,,,,,,
13,LA PLAZUELA,TEGUCIGALPA,1,CH,,,,,,,
300,LA PRADERA,COMAYAGÜELA,12,R3,,,,,,,
808,LA PRADERA,COMAYAGÜELA,24,R3,,,,,,,
301,LA PRIMAVERA,COMAYAGÜELA,12,R1,,,,,,,
14,LA RONDA,TEGUCIGALPA,1,CH,,,,,,,
809,LA ROSA,COMAYAGÜELA,24,R4,,,,,,,
379,LA SOLEDAD,COMAYAGÜELA,13,R3,,,,,,,
863,LA SOLEDAD,COMAYAGÜELA,25,R3,,,,,,,
948,LA SOSA,TEGUCIGALPA,29,R5,,,,,,,
950,LA SOSA NORTE,TEGUCIGALPA,29,R3,,,,,,,
951,LA SOSA SUR,TEGUCIGALPA,29,R3,,,,,,,
149,LA SOTO,TEGUCIGALPA,7,R3,,,,,,,
228,LA TIGRA,TEGUCIGALPA,9,AR,,,,,,,
952,LA TRAVESIA,TEGUCIGALPA,29,R3,,,,,,,
462,LA UNION,TEGUCIGALPA,16,R3,712,COLONIA LA UNION,1605,DU08,SECTOR 16,,
104,LA ZOPILOTERA,COMAYAGÜELA,6,R3,465,BARRIO LA MERCED,109,DU01,,,
71,LARA,TEGUCIGALPA,4,R1,14,BARRIO LA MONCADA,115,DU01,,,
72,LARA NORTE,TEGUCIGALPA,4,R1,466,BARRIO LA PEDRERA,118,DU01,,,
864,LAS ACACIAS,COMAYAGÜELA,25,R3,,,,,,,
463,LAS ANONAS,TEGUCIGALPA,16,R1,16,BARRIO LA PLAZUELA,110,DU01,,,
508,LAS BEGONIAS SAN IGNACIO (CONDOMINIO HORIZONTAL),TEGUCIGALPA,17,R2,976,COLONIA LA PRADERA,2406,DU04,SECTOR 24,,
585,LAS BRISAS,COMAYAGÜELA,19,R3,,,,,,,
586,LAS BRISAS BETANIA,COMAYAGÜELA,19,R3,608,COLONIA LA PRIMAVERA,1220,DU04,SECTOR 12,,
29,LAS CANTERAS,TEGUCIGALPA,2,R3,464,BARRIO LA RONDA,111,DU01,,,
749,LAS CASITAS (CASERIO LAS CASITAS),TEGUCIGALPA,23,R3,,,,,,,
750,LAS CASITAS (COLONIA FELICIDAD),TEGUCIGALPA,23,R3,52,BARRIO LA SOLEDAD,1317,DU11,SECTOR 13,,
987,LAS CASITAS RESIDENCIAL,TEGUCIGALPA,36,R3,,,,,,,
587,LAS COLINAS,TEGUCIGALPA,19,R2,,,,,,,
150,LAS CRUCITAS,COMAYAGÜELA,7,R3,,,,,,,
196,LAS CRUCITAS,TEGUCIGALPA,8,HATILLO,,,,,,,
197,LAS CRUCITAS #2,TEGUCIGALPA,8,HATILLO,758,COLONIA SOTO O PLANES DEL BERRINCHE,730,DU06,SECTOR 07,,
30,LAS DELICIAS,TEGUCIGALPA,2,CH,,,,,,,
667,LAS GRANJITAS,TEGUCIGALPA,21,R3,,,,,,,
751,LAS HADAS,TEGUCIGALPA,23,R3,706,COLONIA LAS ANONAS,1639,DU07,SECTOR 16,,
752,LAS HADAS FECOVIL,TEGUCIGALPA,23,R3,,,,,,,
753,LAS HADAS SOGERIN,TEGUCIGALPA,23,R2,,,,,,,
229,LAS JOYAS,TEGUCIGALPA,9,R4,,,,,,,
979,LAS MARGARITAS,TEGUCIGALPA,35,R3,,,,,,,
258,LAS MARIAS,TEGUCIGALPA,10,R1,582,RESIDENCIAL LAS MARIAS,1031,DU02,SECTOR 10,,
151,LAS MERCEDES,COMAYAGÜELA,7,R4,807,COLONIA LAS MERCEDES,736,DU05,SECTOR 07,,
259,LAS MINITAS,TEGUCIGALPA,10,R1,589,COLONIA LAS MINITAS,1003,DU02,SECTOR 10,,
618,LAS PALMAS,TEGUCIGALPA,20,R3,,,,,,,
73,LAS PALOMAS,TEGUCIGALPA,4,R1,484,COLONIA LAS PALOMAS,411,DU02,SECTOR 04,,
152,LAS PAVAS,COMAYAGÜELA,7,R3,782,COLONIA LAS PAVAS,719,DU06,SECTOR 07,,
230,LAS PAVAS,TEGUCIGALPA,9,R4,,,,,,,
900,LAS PERLAS,TEGUCIGALPA,27,R3,,,,,,,
810,LAS TORRES,TEGUCIGALPA/ COMAYAGUELA,24,R3,,,,,,,
668,LAS VEGAS,TEGUCIGALPA,21,R3,,,,,,,
