Seq,Neighborhood,City,Sector,Zone,objectid,Neighborhood,Corr,Dist,SectorGis,,
120,BUENAS NUEVAS,COMAYAGÜELA,7,R3,785,COLONIA BUENAS NUEVAS,757,DU06,SECTOR 07,,
939,BUENOS AIRE,TEGUCIGALPA,29,R4,,,,,,,
20,BUENOS AIRES,TEGUCIGALPA,2,CH/R4,5,BARRIO BUENOS AIRES,201,DU07,,,
,CALDERON,,,,,,,,,,
82,CALIXTO,TEGUCIGALPA,5,D3,,,,,,,
651,CALPULES,TEGUCIGALPA,21,R4,,,,,,,
96,CAMAGUARA,COMAYAGÜELA,6,R3,509,BARRIO CAMAGUARA,0,DU05,SECTOR 06,,
210,CAMINO AL HATILLO,TEGUCIGALPA,9,HATILLO,555,RESIDENCIAL CAMINO DEL HATILLO,944,DU07,SECTOR 09,,
62,CAMPANA ARRIBA,TEGUCIGALPA,4,R1,,,,,,,
63,CAMPANA O MAYA CENTRO,TEGUCIGALPA,4,R1,829,COLONIA LA CAMPA√ëA O MAYA CENTRO,426,DU02,SECTOR 04,,
121,CAMPO CIELO 1,COMAYAGÜELA,7,R3,799,COLONIA CAMPO CIELO,727,DU06,SECTOR 07,,
122,CAMPO CIELO 2,COMAYAGÜELA,7,R3,799,COLONIA CAMPO CIELO,727,DU06,SECTOR 07,,
123,CAMPO CIELO 3,COMAYAGÜELA,7,R3,799,COLONIA CAMPO CIELO,727,DU06,SECTOR 07,,
290,CAMPO COCA COLA,COMAYAGÜELA,12,R3,,,,,,,
97,CAMPO SONIA,COMAYAGÜELA,6,R3,,,,,,,
990,CAMPO VERDE,TEGUCIGALPA,41,R3,,,,,,,
211,CANAAN,TEGUCIGALPA,9,R3,546,COLONIA CANAAN,947,DU07,SECTOR 09,,
124,CAÑADA,COMAYAGÜELA,7,R3,789,COLONIA CANADA,720,DU06,SECTOR 07,,
836,CANTARERO LOPEZ,COMAYAGÜELA,25,R3,,,,,,,
181,CANTERA,TEGUCIGALPA,8,HATILLO,3,COLONIA LAS CANTERAS,207,DU07,SECTOR 02,,
182,CANTERA 1,TEGUCIGALPA,8,R3,3,COLONIA LAS CANTERAS,207,DU07,SECTOR 02,,
183,CANTERA 2,TEGUCIGALPA,8,R3,3,COLONIA LAS CANTERAS,207,DU07,SECTOR 02,,
184,CANTERA 3,TEGUCIGALPA,8,R3,3,COLONIA LAS CANTERAS,207,DU07,SECTOR 02,,
916,CANTERA DE SANTOS Y COMPAÑIA,TEGUCIGALPA,28,ZI,,,,,,,
1014,CARPINTERO (CASERIO ASERRADERO EL PINO),TEGUCIGALPA,58,EL HATILLO,,,,,,,
1015,CARPINTERO (VILLA CAMPESINA),TEGUCIGALPA,58,EL HATILLO,,,,,,,
837,CARRIZAL ZONA QUEBRACHOS,COMAYAGÜELA,25,R3,,,,,,,
43,CASAMATA,TEGUCIGALPA,3,R3,19,BARRIO CASAMATA,302,DU07,SECTOR 03,,
125,CASANDRA,COMAYAGÜELA,7,R3,,,,,,,
738,CASAS VERDES,TEGUCIGALPA,23,R3,,,,,,,
539,CASAVOLA,TEGUCIGALPA,18,R1,,,,,,,
739,CASCADA,TEGUCIGALPA,23,R2,,,,,,,
